Nr;Sehenswuerdigkeit;Dateiname;Fotograf;Lizenz;Quelle;URL;Anmerkung
1;Blaue Lagune (Bláa lónið);blaue-lagune-v2.jpg;F D (fnkdnny);Unsplash License;Unsplash;https://unsplash.com/photos/vCqclUnCg_8;
2;Arnarstapi;arnarstapi-v2.jpg;Josephine Lin;Unsplash License;Unsplash;https://unsplash.com/photos/1W0hBqUbE7s;
3;Deildartunguhver;deildartunguhver-v2.jpg;Rino Adamo;Pexels License;Pexels;https://www.pexels.com/photo/icelandic-geothermal-landscape-with-steam-vents-34589606/;
4;Hraunfossar;hraunfossar-v2.jpg;Tetiana Syrova;Unsplash License;Unsplash;https://unsplash.com/photos/n1nDUvnffMc;
5;Djúpavík;djupavik-v2.jpg;Maksim Smirnov;Pexels License;Pexels;https://www.pexels.com/photo/scenic-aerial-view-of-coastal-village-harbor-32345444/;
6;Hvítserkur;hvitserkur-v2.jpg;Antonio Morillas;Unsplash License;Unsplash;https://unsplash.com/photos/vvMQscp-7E0;minimaler Schneefleck am fernen Berg im Hintergrund
7;Glaumbær;glaumbaer-v2.jpg;Freysteinn G. Jonsson;Unsplash License;Unsplash;https://unsplash.com/photos/CPVc42gqT2Y;
8;Goðafoss;godafoss-v2.jpg;Richard Dorran;Unsplash License;Unsplash;https://unsplash.com/photos/pyIGuqVX6k4;
9;Mývatn;myvatn-v2.jpg;Ulrich Knoll;Unsplash License;Unsplash;https://unsplash.com/photos/1wbbEnfXRqA;
10;Grjótagjá;grjotagja-v2.jpg;Rino Adamo;Pexels License;Pexels;https://www.pexels.com/photo/echoing-beauty-of-a-hidden-cave-pool-34585950/;
11;Dettifoss;dettifoss-v2.jpg;Richard Dorran;Unsplash License;Unsplash;https://unsplash.com/photos/JFW-P9IMgxo;
12;Selfoss (Wasserfall an der Jökulsá);selfoss-wasserfall-v2.jpg;Art Merikotka;Pexels License;Pexels;https://www.pexels.com/photo/close-up-shot-of-a-river-12575208/;Motiv-Zuordnung nicht 100% sicher (generischer Dateiname, Standort Norðurþing passt)
13;Ásbyrgi;asbyrgi-v2.jpg;Fahad AlAni;Pexels License;Pexels;https://www.pexels.com/photo/volcanic-rocks-atop-mountain-with-view-of-cliff-face-17391044/;zeigt Felswand statt der klassischen Canyon-Luftaufnahme
