company,country,city,km_to_budapest,website,email,phone,cans_330ml,carbonated,protein_dairy_capable,moq,setup_fee,price_per_can,lead_time,sources_ingredients,does_lab_compliance,certifications,startup_friendly,status,verified_from,notes
"Opre' Label / Opre' Brothers","Hungary or Slovakia - FILLING SITE UNKNOWN","UNKNOWN - contacts page never opened","UNKNOWN - depends on filling site","www.oprebrothers.hu (/private-label/, /kapcsolatok/)","sales@oprelabel.com","UNKNOWN","YES - 'Opre' Cider Dobozos' canned cider is a live SKU; exact 330 ml confirmation QUOTE REQUIRED","YES - cider, carbonated beverages, kombucha, colas, tonics","COLLAGEN YES - 'collagen beverages' is on the published product list. WHEY/DAIRY UNKNOWN - QUOTE REQUIRED","'Low MOQ ... starting from just one pallet'. *** CANS PER PALLET IS UNKNOWN *** - this project's own two derivations give 1680 and 2880 and CANNOT BOTH BE RIGHT (see notes). CONFIRM IN WRITING BEFORE ANY BUDGET IS PRESENTED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Offers recipe development - scope of ingredient sourcing UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - lowest published MOQ reachable from Hungary","RANK 1 - PRIMARY TARGET FOR BATCH 1","B1 s2.2, B6 s3.2, B7 s3.2 - SEARCH-VERIFIED (search-result extract of the company's own page; page never opened)","*** THE MOQ CONFLICT, UNRESOLVED. *** MOQ-in-cans is DERIVED arithmetic, not a quote, and the project contains two irreconcilable derivations. (A) 14_FIRST_BATCH/this file previously: 330 ml sleek ~53-58 mm dia; Euro pallet 1200x800 ~280/layer x 6 layers = ~1680 cans. (B) logistics/23_SHIPPING.md s1.3: 216 cans/layer, 'use 2880 cans/pallet for planning' (2000-2300 weight-capped), and it calls batch 1 '0.59 of a pallet'. 280 vs 216 cans/layer and 6 vs 12-15 layers cannot both be right. AT 2880 CANS THE MINIMUM ORDER IS ~1,509,120 HUF = EUR 4157 AT 524 HUF/CAN - MORE THAN THE ENTIRE EUR 3000 CAPITAL, and 64% of the 4500-can DRS working cap in one order. ASK: 'how many 330 ml SLEEK cans are on one pallet, and will you fill a PART pallet?' - this is question #1 and it is a hard gate. FORMAT DECIDED: 330 ml SLEEK (~58 mm), not standard 211 (66.3 mm). Brand origin Opre' Cider, Opre' Cidery s.r.o. (opre.sk, Slovakia); oprebrothers.hu is the Hungary-facing arm - LIKELY. ASK FIRST: is the filling site HU or SK (changes freight, DRS and EPR responsibility)."
"Bubee Hungary Kereskedelmi es Szolgaltato Kft.","Hungary","Kiskoros - 6200 Kiskoros, Sarkany Jozsef utca 7",~110 (ESTIMATE ~1h20 by road),"www.bubee.eu / bubeehungary.hu / en.bubee.eu","info@bubee.eu","+36 30 240 0493","YES - aluminium cans 0.2 / 0.25 / 0.33 L on their own line","YES - energy drinks, spritzers, sparkling wine","STRONGEST PUBLISHED SIGNAL IN HUNGARY - explicitly offers contract manufacture of BCAA drinks, sports drinks, functional drinks. DAIRY APPROVAL NUMBER UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED - THE SINGLE MOST IMPORTANT UNKNOWN IN THE HUNGARIAN WORKSTREAM","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED (IFS/BRC/ISO 22000 all unverified)","UNKNOWN - but 25 m cans/yr is small enough that a 1700-can run is a plausible ask","RANK 2 - BEST TECHNICAL FIT / PRIMARY BACKUP","B1 s2.1, B7 s3.3 - SEARCH-VERIFIED (site text via search index; page never opened). Registry details LIKELY (Nemzeti Cegtar/Ceginfo)","New plant handed over April 2025, Kiskoros, ~25 m cans/yr (LIKELY - vira.hu, baon.hu). Proof of third-party work: produces the private-label energy drink for Slovakia's Jednota COOP. Stated to be the only company in Hungary holding both aluminium can filling equipment and a winery licence. Registered 6 Aug 2013, NACE soft drink & mineral water manufacture."
"MONYO Brewing Co. (Monyo Brewing Kft.)","Hungary","Budapest - 1106 Budapest, Maglodi ut 47",0,"www.monyobrewing.hu (/szolgaltatasok/udito-bergyartas)","UNKNOWN - web form only","+36 70 550 2000","YES - sells own MONYO Craft Soda 0.33 L; 'doboz / uvegpalack' named as a briefing choice","YES - documented process: blending -> carbonation -> filling","UNKNOWN - QUOTE REQUIRED. A craft brewery almost certainly holds NO dairy establishment approval","2000 LITRES per batch AND 6000 LITRES per year = ~6060 cans/batch, ~18180 cans/yr (DERIVED: 2000/0.33)","Recipe demo stage 2-3 variants, SEPARATELY CHARGED - amount UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","PARTIALLY - productised contract soft-drink filling, but the annual minimum is anti-startup","RANK 3 - OVER BUDGET FOR BATCH 1, REVISIT AT ROUND 2","B1 s2.4, B6 s3.2, B7 s3.6 - SEARCH-VERIFIED","PAYMENT TERMS PUBLISHED: 50% deposit before production starts, balance ~15-day terms. Plant 12000 hl/yr freely combinable beer/soft drink. THE TRAP IS THE 6000 L/YEAR ANNUAL MINIMUM - ~18180 cans/yr blows through the ~5000-can DRS ceiling. Negotiate it explicitly or walk. HopTop Sorfozo Zrt. is registered at the SAME address - establish who owns which vessels before contracting."
"Sajatital.hu / HUNGARIAN ENERGY DRINK Kereskedelmi es Szolgaltato Kft.","Hungary","Budapest - 1162 Budapest, Baross utca 282",0,"www.sajatital.hu","sajatital.hu@gmail.com - orders accepted EXCLUSIVELY via this address","UNKNOWN","UNKNOWN - QUOTE REQUIRED. Energy-drink product implies 250 ml, NOT confirmed","YES - own-logo energy drink or fruit-flavoured carbonated soft drink","UNKNOWN - QUOTE REQUIRED - very likely NO","FROM 1500 UNITS - the lowest published unit MOQ in Hungary","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Yes - design, graphics, production, packaging, delivery (free within Budapest)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES on MOQ - NO on formulation control","RANK 4 - CHEAP 'SOMETHING PHYSICAL IN HAND', NOT A PRODUCTION PARTNER","B1 s3.1, B7 s3.6 - SEARCH-VERIFIED. Registry data LIKELY (Nemzeti Cegtar): cegjegyzekszam 13-09-141654, adoszam 23006557-2-42","BROKER WARNING: registered main activity is BEVERAGE WHOLESALE (ital nagykereskedelme), NOT manufacture. LIKELY buys capacity on someone else's line and adds artwork - which is exactly why they can quote 1500 units. A 20 g protein soda is a formulation job, not a label job."
"Private Label Drink","Hungary (site only - PLANT LOCATION UNKNOWN)","UNKNOWN","UNKNOWN","www.privatelabeldrink.hu","UNKNOWN - contact page egress-blocked","UNKNOWN","YES - aluminium can filling advertised","YES - soft drinks, functional drinks, wine-based cocktails, alcoholic RTD","UNKNOWN - QUOTE REQUIRED ('functional drinks' is not 20 g protein)","15000 cans at 330 ml; 20000 at 250 ml. HALF QUANTITY ON A FIRST ORDER = 7500 x 330 ml","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","15 days after raw materials arrive","Own recipe accepted, or development support provided","Certificate of Analysis with every production batch; all raw materials stated EU-compliant","UNKNOWN - QUOTE REQUIRED","Positions itself as 'full-service contract manufacturing and aluminium can filling for START-UP and existing beverage brands'","RANK 5 - DO NOT PAY ANYTHING UNTIL THE LEGAL ENTITY IS IDENTIFIED","B1 s2.3, B7 s3.6 - SEARCH-VERIFIED","*** WARNING: LEGAL ENTITY UNIDENTIFIED. *** This is a marketing front-site whose operating company could not be identified. BEFORE PAYING ANYTHING get the Kft. name, adoszam and physical plant address and check them in Nemzeti Cegtar / OPTEN. It may be a broker reselling capacity at Bubee or abroad. That is not disqualifying - but you must know whose line you are on. 7500 cans = 2475 L."
"Drink Creator","Hungary","UNKNOWN - production site stated to be in Hungary","UNKNOWN","drinkcreator.hu (HU) / drinkscreator.com (EN)","UNKNOWN - contact form only, page egress-blocked","UNKNOWN","NO CANS - 200 / 250 / 330 ml GLASS bottles only","YES - tonic water, ginger ale, lemonade, ginger beer","UNKNOWN - QUOTE REQUIRED","'Low MOQ' stated, NO FIGURE PUBLISHED - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES - explicitly: 'main goal is to help small businesses and startups produce their first private-label drinks, offering a low MOQ at a reasonable unit price'","RANK 6 - WRONG PACK, RIGHT PEOPLE FOR THE RECIPE","B1 s3.2, B7 s3.6 - SEARCH-VERIFIED","The most explicitly startup-friendly Hungarian beverage developer found. Led by the maker of &T Tonic Water, the first premium Hungarian tonic. Portfolio page /projektek/ includes a Tokaj Gin RTD project. Also runs a course (/kurzus/). VALUE HERE IS FORMULATION EXPERTISE AT LOW pH + HIGH CARBONATION - talk to them about the recipe even if you can elsewhere. Glass is wrong for a gym bag (weight, breakage; many gyms ban glass)."
"HELL ENERGY Magyarorszag Kft.","Hungary","Szikszo, Borsod-Abauj-Zemplen",~180-190 (ESTIMATE ~2h15),"www.hellenergy.com (/ind/ind-factory/) - EGRESS-BLOCKED, NEVER OPENED","B2B CONTACT NOT FOUND - DELIBERATELY NOT GUESSED","B2B CONTACT NOT FOUND - DELIBERATELY NOT GUESSED","YES - 250, 330, 475, 500 ml","YES","LIKELY (trade press only; hellenergy.com was EGRESS-BLOCKED and never opened) - THE ONLY DAIRY-CAPABLE ALUMINIUM CAN LINE IDENTIFIED IN THIS RESEARCH IN HUNGARY. Reported as Hungary's first aluminium-can milk-based beverage plant, opened Sept 2020, HUF 8 bn investment, up to 50000 cans/hour, HELL Energy Coffee Latte/Cappuccino/Slim Latte. *** NOT CONFIRMED, AND 'THE ONLY' IS AN ASSERTION ABOUT ALL OF HUNGARY MADE WITHOUT OPENING A SINGLE SUPPLIER PAGE. ***","UNKNOWN - QUOTE REQUIRED. Realistically hundreds of thousands to millions of cans","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Integrated aluminium can MANUFACTURING + beverage filling on one site - rare in Europe","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","NO - a line rated 50000 cans/hour produces a 7500-can batch in nine minutes","RANK 7 - SEND ONE ENQUIRY TO SET THE CEILING, EXPECT A NO. YEAR-3 PARTNER, NOT LAUNCH PARTNER","B1 s4.1, B7 s3.6 - LIKELY (trade press: metalpackager.com, packaging-gateway.com, alcircle.com, origo.hu, feol.hu, index.hu, 168.hu)","Third-party filling is press PARAPHRASE, not a published service offer: reported that the line 'also provides contract manufacturing services for other clients'. Azerbaijan (Alat) plant fills 'mainly to meet the demands of local and regional third-party brands' - suggests third-party filling is deliberate group strategy. TELLING DETAIL: HELL had their own canned coffee CONTRACT-MANUFACTURED IN GERMANY UNTIL 2020 before building the line - direct evidence that German dairy-can co-packers exist and take third-party work. CONTACT MUST BE FOUND ON THEIR OWN SITE OR LINKEDIN - it was not retrieved and has not been guessed."
"HopTop Sorfozo Zrt.","Hungary","Budapest - 1106 Budapest, Maglodi ut 47",0,"hoptop.hu/gerilla-sorfozes","webshop@hoptop.hu","+36 20 371 1787","UNKNOWN - QUOTE REQUIRED","YES (beer)","UNKNOWN - QUOTE REQUIRED - very likely NO","UNKNOWN - QUOTE REQUIRED - offers 'gerilla' contract brewing in SMALL RUNS","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","YES on batch size - BEER-FOCUSED, soft-drink capability UNKNOWN","LEAD - ASK 'WHO CANS FOR YOU' (free intelligence)","B1 s8, B6 s3.2 - SEARCH-VERIFIED","Offers small-run own-brand contract brewing incl. labelling and bottling. Shares the Maglodi ut 47 site with MONYO. Worth one Hungarian sentence: 'Ki dobozol nektek - sajat soron vagy mobil szolgaltatoval?'"
"Feher Nyul Brewery","Hungary","Budapest - 1095 Budapest, Soroksari ut 110-112",0,"fehernyul.hu (blog: /blog/az-aludoboz-es-a-kraft-sor)","info@fehernyul.hu / event@fehernyul.hu","+36 30 4298 667","UNKNOWN - CONTRACT CANNING FOR THIRD PARTIES NOT CONFIRMED","YES (beer)","UNKNOWN - QUOTE REQUIRED - very likely NO","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LEAD - BEST-INFORMED PARTY ON HUNGARIAN MOBILE CANNING","B1 s8, B6 s3.2 - SEARCH-VERIFIED","~200000 L fermentation capacity (2019, up from 150000 L in 2017). AUTHORED THE HUNGARIAN MOBILE-CANNING BLOG POST stating mobile canning lines have arrived in Hungary - therefore the single best party to ask who actually operates one. Office hours Mon-Fri 09:00-16:30."
"TUTTI Kft.","Hungary","UNKNOWN","UNKNOWN","tutti.hu/bergyartas","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","NO - POWDER ONLY, NOT LIQUID","N/A","POWDER contract manufacturing - protein powder capability UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED - THE SWING FACTOR FOR A POWDER SKU","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LEAD - THE ONLY HUNGARIAN NAME ON THE POWDER-SACHET BRIDGE ROUTE","B1 s8, B6 s7.4 - SEARCH-VERIFIED","Contract manufacturing for POWDER-BASED FOODS ONLY, explicitly not liquid. Relevant if a powder stick-pack bridge SKU is used to fund the can run (B6 route 1). ASK: minimum batch, stick-pack vs sachet, SETUP FEE, price per unit at 1000 / 3000 / 10000."
