company,country,website,email,product,moq,price_per_unit_eur,price_per_unit_huf,volume_tier,status,source_url,notes
"*** READ THIS ROW FIRST - THE STRUCTURAL FINDING ***","-","-","-","330 ml aluminium can bodies, direct from a can maker","FULL TRUCKLOAD / SIX-FIGURE. Printed-can minimums found: 150,000 pieces per variety per order (Austria, published on a supplier site) and ~200,000 pieces (Germany, two independent trade reports). Minimum for UNDECORATED/BRITE cans direct from a can maker was NEVER ESTABLISHED","N/A","N/A","N/A","STRUCTURAL - CONFIRMED BY TWO INDEPENDENT ROUTES","-","A STARTUP CANNOT BUY CANS DIRECT. AT 1,700 CANS YOU ARE TWO ORDERS OF MAGNITUDE BELOW THE MINIMUM ORDER OF EVERY CAN MAKER - Ball, Crown, Ardagh, CanPack and Trivium will not quote you, and no negotiation closes a 90-150x gap. THE ONLY ROUTE TO CANS IS THE CO-PACKER'S OWN STOCK OF BLANK CANS, or a blank-can reseller. This is exactly why small European drink brands can exist at all: BeverageScouts offers test fillings from 1,000 cans and applies labels 'in a second work step', Taste Your Brand fills from 50 litres (~150 cans) on its own in-house line, and Canable and Bayerndose both offer label/decoration support - none of which is coherent unless they are drawing from their own can stock. THEREFORE, ASK EVERY CO-PACKER TWO SEPARATE MOQ QUESTIONS, ALWAYS: (1) 'What is your minimum FILLING quantity?' and (2) 'What is your minimum CAN PURCHASE quantity - do you stock unprinted/brite 330 ml cans, and can you apply our sleeve or label instead of requiring a printed can run?' A filler who will happily run 2,000 litres of liquid may still be unable to buy fewer than a truckload of cans. THIS IS THE SINGLE MOST COMMON REASON A PROMISING QUOTE COLLAPSES."
"blankodosen.de","Germany","https://www.blankodosen.de/","UNKNOWN - QUOTE REQUIRED","Blank (undecorated) aluminium cans","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","SEARCH-VERIFIED URL (seen in a search extract; the site itself was never opened - egress blocked). Price and MOQ NEVER RETRIEVED","https://www.blankodosen.de/","THE ONLY BLANK-CAN SUPPLIER IN THIS ENTIRE RESEARCH WITH A VERIFIED URL. If a co-packer will fill cans you supply, this is the one lead worth chasing. ASK FOR: 330 ml standard AND 330 ml sleek, price and MOQ, whether ends are included or separate, and whether they will sell a single pallet (~1,800-2,300 cans). Everything about this supplier beyond the URL is unknown."
"BeverageScouts","Austria (Hollabrunn)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Can filling with stock blank cans + label applied in a second work step","TEST FILLINGS FROM 1,000 CANS; regular runs from 20,000","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","1,000 (test) / 20,000 (regular)","SEARCH-VERIFIED (published on their site, seen via search extract; site never opened). No website, email or phone was obtained","-","THE LOWEST PUBLISHED CAN MINIMUM FOUND ANYWHERE IN AUSTRIA OR GERMANY. A 1,000-can offer is only possible on house can stock. Explicitly labels cans 'in a second work step' - i.e. blank can + applied decoration, exactly the route batch 1 needs. Austrian, so groupage freight to Budapest is the cheap end of the range (see freight row). CROSS-CHECK AGAINST OPRE LABEL AND BUBEE BEFORE COMMITTING."
"Taste Your Brand","Germany (Hamburg)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Prototyping fills on an in-house can line","FROM 50 LITRES (~150 x 330 ml cans)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","~150 cans","SEARCH-VERIFIED (published on their site via search extract; site never opened). No contact details obtained","-","THE LOWEST ABSOLUTE MINIMUM FOUND ANYWHERE IN EUROPE. Not a commercial route for 1,700 cans, but potentially the CHEAPEST WAY TO GET A PHYSICAL SAMPLE IN HAND before committing EUR 2,000-2,600 - a 150-can prototype run to test clarity, taste, carbonation and shelf-stability of the collagen/whey blend at pH 3.2. Worth one email even if you never place a production order with them."
"Canable","Germany (Berlin)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Can filling + label/decoration support","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","SEARCH-VERIFIED that they offer label/decor support; MOQ and price never obtained. No contact details","-","Offers applied decoration alongside filling, which implies house can stock (LIKELY - not confirmed). Backup to BeverageScouts if the Austrian quote is high."
"Bayerndose","Germany (Pilsting)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Can filling + label/decoration support + German DPG deposit registration + lab work","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","SEARCH-VERIFIED service description; MOQ and price never obtained. No contact details","-","Full-service wrapper around its own can stock: decoration, deposit-system registration and lab work. The lab work matters - a first Hungarian label for a novel functional drink WILL need at least one revision. Note their deposit handling is German DPG, not Hungarian MOHU DRS."
"Fuellkopf","Germany (Steinheim)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Can filling, believed to hold stock blank cans","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","LIKELY (inferred from published minimums) - stock-can status NOT confirmed. No contact details obtained","-","Named in the packaging research as a filler that appears to hold stock blank cans. Nothing beyond the name and location was verified."
"Opre Label","Hungary","UNKNOWN - QUOTE REQUIRED","sales@oprelabel.com","Contract filling; blank can stock status UNVERIFIED","ONE PALLET (~1,800-2,300 cans at 330 ml)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","one pallet","MANUFACTURER TARGET per the agreed plan (co-packer workstream). WHETHER THEY HOLD STOCK BLANK CANS IS ENTIRELY UNVERIFIED","-","THE PRIMARY MANUFACTURER TARGET. Contact detail carried from the project plan, not from the packaging research. THE DECISIVE QUESTION FOR THIS FILE: do they stock unprinted 330 ml cans, and will they apply our shrink sleeve or adhesive label? If yes, batch 1 is executable domestically with no cross-border can freight. If no, the whole packaging plan reverts to BeverageScouts in Austria. ASK BOTH MOQ QUESTIONS SEPARATELY (see row 1)."
"Bubee Hungary Kft","Hungary (Kiskoros)","UNKNOWN - QUOTE REQUIRED","info@bubee.eu","Contract filling; owns 0.2 / 0.25 / 0.33 L can filling","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN","BACKUP MANUFACTURER TARGET per the agreed plan. STOCK BLANK CAN STATUS ENTIRELY UNVERIFIED","-","Backup to Opre Label. Phone from the project plan: +36 30 240 0493. Owns its own 0.33 L can filling line and advertises BCAA/sports/functional drinks, which is the closest published capability match in Hungary. Same two MOQ questions apply."
"aluminum-can.com (2026 cost guide - NOT A SELLER)","EU","aluminum-can.com","-","330 ml can body + end - SMALL ORDERS from independent can makers / distributors","N/A - this is a price guide, not an offer","0.20 - 0.30","72.6 - 108.9","small orders (THIS IS THE TIER THAT APPLIES TO YOU)","SEARCH-VERIFIED (LIKELY - secondary-source cost guide, not a quote and not a primary index)","https://www.aluminum-can.com/blog/aluminum-can-prices.html","THE CAN ALONE IS 15-22% OF THE ~491 HUF LANDED COGS PER CAN AND 24-36% OF A 300 HUF COGS BOX. This is the largest single non-ingredient line and it is a LIKELY figure, not a quote - it is the number most worth replacing with a real one. DERIVED: EUR 0.20-0.30 x 363 = 72.6-108.9 HUF."
