company,country,website,email,ingredient,grade_spec,price_per_kg_eur,price_per_kg_huf,moq,ships_to_hungary,protein_percent,certification,status,source_url,notes
"*** READ THIS ROW FIRST - 2026 WHEY MARKET ALERT ***","EU","-","-","Whey proteins (WPC80 / WPI90 / clear WPI / WPH)","All whey grades","WPC80: 20.25 EUR/kg on 8 Apr 2026 rising to 27.50 EUR/kg Jul 2026. WPI90: 25.75 EUR/kg on 8 Apr 2026 rising to 32.50 EUR/kg Jul 2026","WPC80: 7351 HUF/kg (Apr) to 9983 HUF/kg (Jul). WPI90: 9347 HUF/kg (Apr) to 11798 HUF/kg (Jul)","N/A","N/A","N/A","N/A","SEARCH-VERIFIED (DCA Market Intelligence benchmark, quoted in search results; index pages themselves were egress-blocked)","https://www.dcamarketintelligence.com/update/3734/wpc80-prices-have-gone-up-again-reaching-new-record-prices","THE SINGLE MOST IMPORTANT COMMERCIAL FACT IN THIS FILE. WPC80 hit EUR 20250/tonne in April 2026 and EUR 27500/tonne by July 2026 - more than double October 2025 (EUR 12500/t). European producers are reported SOLD OUT, with trade reporting that most have not sold new volumes since the EUR 17000/t level and that WPC80/WPI is essentially unavailable to new buyers seeking volume. The shortage is forecast to run through 2026 and is STRUCTURAL, not a spike: whey is a co-product of cheese, and fractionation capacity takes 2-4 years to add. CONSEQUENCE FOR US: a micro-buyer asking for 25-100 kg has NO ALLOCATION AT ANY PRICE and sits at the back of the queue - expect a small-lot PREMIUM above index, never a discount. This is the primary argument for weighting ARCH F toward collagen (10 g collagen + 10 g WPI, not 20 g whey), and it is why ARCH E (20 g all-clear-whey, 268-334 HUF ingredients) was rejected. Do NOT sign a whey-heavy formula on index prices. Ask every whey supplier the ACCESS question before the price question: will you sell 25 kg to a first-time Hungarian buyer, and what is the lead time?"
"FloraVita (superwebaruhaz.hu store)","Hungary","floravita.superwebaruhaz.hu","UNKNOWN - QUOTE REQUIRED","Hydrolysed bovine collagen peptides","Kollagen PEPTINEX B, 20 kg bag, fully hydrolysed bovine, food grade, high purity","16.16","5866","20 kg bag (1 bag)","YES - Hungarian domestic webshop, price listed in HUF gross","90 (assume; CONFIRM on CoA - specs run 90-97%)","UNKNOWN - QUOTE REQUIRED","PUBLIC LIST PRICE (Hungarian, buyable today) - the benchmark every other collagen quote must beat","https://floravita.superwebaruhaz.hu/kollagen-peptinex-b-20-kg-zsak-teljesen-hidrolizalt-szarvasmarha-nagy-tisztasagu-etkezesi-t1040727","DERIVED: 149000 HUF gross / 1.27 (27% AFA) = 117322.83 HUF net / 20 kg = 5866.14 HUF/kg = EUR 16.16/kg. This sits inside the published EU standard-grade band of EUR 12-20/kg, so two independent sources corroborate. THIS IS THE PILOT-SCALE PRICE USED IN ARCH F COSTING (6.518 HUF per gram of declared protein at 90% spec). ALWAYS BUY ON PROTEIN SPEC, NOT PRICE PER KG: a 97% peptide at EUR 17/kg beats a 90% peptide at EUR 16/kg - 97% spec saves 9.4 HUF/can versus 90%. Domestic seller = no cross-border freight, no import VAT friction, invoice in HUF."
"IndexBox (market research - NOT A SELLER)","EU","indexbox.io","-","Hydrolysed collagen peptides","Standard grade bovine, EU trading range","12.00 - 20.00","4356 - 7260","N/A","N/A","90 typical","N/A","SEARCH-VERIFIED (market index; page egress-blocked, figure seen in search extract)","https://www.indexbox.io/store/european-union-collagen-peptides-powder-market-analysis-forecast-size-trends-and-insights/","Range only, not a quote. Confirms the FloraVita list price is normal, not gouged. CRITICAL ASYMMETRY: collagen is made from bovine hides and bones, NOT milk - it is NOT in the 2026 dairy shortage. Searches found no evidence of a 2026 collagen price spike. This decoupling is the entire commercial basis of ARCH F."
"GELITA AG","Germany","gelita.com","UNKNOWN - QUOTE REQUIRED","Hydrolysed bovine collagen peptides","Standard bovine hydrolysed collagen peptides","12.50","4538","UNKNOWN - QUOTE REQUIRED (expect tonne-scale)","UNKNOWN - QUOTE REQUIRED","90 typical","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED price anchor (IndexBox public anchor for GELITA product); company itself NOT contacted, gelita.com returned 403","https://www.indexbox.io/search/pro-collagen-ingredient-price-evidence-world-2026/","EUR 12.50/kg is the manufacturer-level (tonne-scale) FLOOR used as the SCALE tier in the ARCH F costing = 5.042 HUF per gram of declared protein. You will not get this price at 25 kg. Major German producer, short freight to Hungary. Contact to identify the correct grade code, then buy that grade through a distributor in 20-25 kg."
"Weishardt","France","weishardt.com","UNKNOWN - QUOTE REQUIRED","Marine collagen peptides","Premium marine peptides","22.00","7986","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","90 typical","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED price anchor (IndexBox); company NOT contacted","https://www.indexbox.io/search/pro-collagen-ingredient-price-evidence-world-2026/","Marine collagen costs ~1.4-1.8x bovine for a premium claim we do not need in batch 1. DO NOT USE - bovine only. Listed here so you recognise and reject a marine upsell."
"FDCM.eu","Poland","fdcm.eu","UNKNOWN - QUOTE REQUIRED","Hydrolysed bovine collagen peptides; also WPC80, erythritol, pea protein, rice protein","Bovine collagen, 20 kg bags, EU-27 delivery","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","20 kg bags (product page states bag format; MOQ itself UNKNOWN)","UNKNOWN - QUOTE REQUIRED (EU-27 delivery advertised)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED product listing, NO PRICE PUBLISHED - QUOTE REQUIRED","https://fdcm.eu/products/bovine-collagen/","Phone recorded in the source dossier: +48 577 124 466. Polish = short freight to Hungary. PRIORITY QUOTE #1 - ask for collagen at 25 / 100 / 500 / 1000 kg DDP Hungary, stating protein % (N x 6.25), MW range, solubility at pH 3.0-3.5 and clarity in a carbonated model system. Beat 5866 HUF/kg or the Hungarian domestic option wins."
"Foodcom S.A.","Poland","foodcom.pl","UNKNOWN - QUOTE REQUIRED","WPC80, erythritol, pea protein 80, hydrolysed wheat gluten; ask also for collagen","15/20/25 kg bags and big bags","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","varies by product","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED product listings, NO PRICES PUBLISHED - QUOTE REQUIRED","https://foodcom.pl/en/products/whey-protein-concentrate-80-wpc-80/","Trader/distributor. Lists WPC80 in 15/20/25 kg and big bags but publishes no price. Polish, short freight. In a sold-out whey market a trader may actually have stock a producer will not sell you - worth one email even though WPC80 itself is REJECTED for our clear product."
"SuperBulk","EU","superbulk.com","UNKNOWN - QUOTE REQUIRED","Bovine collagen peptides","Classic bovine collagen","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","10 kg (stated in source dossier as MOQ 10 kg) - NEEDS CONFIRMATION","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED listing, NO PRICE - QUOTE REQUIRED","https://superbulk.com/products/classic-bovine-collagen","The LOWEST MOQ found anywhere for collagen (10 kg). At 11.1 g collagen powder per can, 1700 cans needs only ~19 kg - so a 10 kg MOQ lets you buy exactly what you need instead of opening a 25 kg sack. Worth a quote even at a higher per-kg price."
"Nutrada","EU","nutrada.com","UNKNOWN - QUOTE REQUIRED","Collagen peptides (wholesale)","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","SEARCH-VERIFIED listing, NO PRICE - QUOTE REQUIRED","https://nutrada.com/products/proteins/collagen-peptide-wholesale","Wholesale collagen listing. Unverified beyond the URL."
"Rousselot (Darling Ingredients)","Netherlands / France","rousselot.com","UNKNOWN - QUOTE REQUIRED","Hydrolysed collagen peptides","Peptan brand collagen peptides","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED (expect tonne-scale)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","TARGET TO CONTACT - website never opened, existence not confirmed in this research","https://www.rousselot.com/","Named in the ingredient dossier as a major collagen producer (Peptan). NOT VERIFIED. Producer-scale; use to identify a grade code, then buy through a distributor."
