company,country,city,services,published_price,turnaround,accreditation,website,email,phone,status,notes
"WESSLING Hungary Kft.","Hungary","Budapest","Expected: full food chemistry + microbiology; contaminants; nutrition panels. Expected the broadest single-source food-testing scope in Hungary","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","Expected NAH-accredited to ISO/IEC 17025 - UNKNOWN - VERIFY ON NAH REGISTER","UNKNOWN - VERIFY (domain www.wessling.hu was attempted during research and the fetch was blocked; treat as a lead, not a verified address)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","Entity believed to exist (A9 4.1). No price, email or phone could be sourced - all outbound HTTPS to lab sites returned 403 and the WebSearch budget was exhausted. Send the standard quote request in 06_SAFETY_AND_SHELF_LIFE.md 9.1. Find contacts on the company's own domain only."
"Balint Analitika Kft. (Balint Analitika)","Hungary","Budapest","Food and environmental analysis","UNKNOWN - QUOTE REQUIRED - SEARCH THEIR SITE FOR 'arjegyzek' FIRST","UNKNOWN - QUOTE REQUIRED","UNKNOWN - VERIFY ON NAH REGISTER","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","A9 4.1 records that this lab historically publishes an 'arjegyzek' (price list). THE MOST LIKELY SOURCE OF PUBLISHED HUNGARIAN LIST PRICES - check this one first. Price list itself was NOT retrieved."
"Eurofins (Hungary entity)","Hungary","UNKNOWN","Expected: nutrition panels, protein, caffeine, sweeteners, preservatives, microbiology, shelf life","UNKNOWN - QUOTE REQUIRED - CHECK FOR AN ONLINE SAMPLE-SUBMISSION SHOP WITH LIST PRICES","UNKNOWN - QUOTE REQUIRED","ISO/IEC 17025 expected - UNKNOWN - VERIFY","UNKNOWN - VERIFY (domain www.eurofins.hu was attempted during research and the fetch was blocked; treat as a lead, not a verified address)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","Largest food-testing network in Europe (A9 4.1). Country sites sometimes publish package prices in a webshop - none was retrieved. Ask specifically which nitrogen-to-protein conversion factor they apply to a collagen+whey beverage."
"Eurofins (Germany entity)","Germany","UNKNOWN","Same group scope: food chemistry, protein, microbiology, shelf life","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","ISO/IEC 17025 expected - UNKNOWN - VERIFY","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","A9 4.3: German Eurofins entities are judged the most likely in Europe to publish list prices online. Sending 3-6 cans HU->DE is an ordinary intra-EU parcel with no import formality - DO NOT restrict the quote request to Hungary."
"Eurofins (Austria entity)","Austria","UNKNOWN","Same group scope","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","ISO/IEC 17025 expected - UNKNOWN - VERIFY","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","Relevant because Austria is the possible secondary market (A9 4.3)."
"Eurofins (Poland entity)","Poland","UNKNOWN","Same group scope","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","ISO/IEC 17025 expected - UNKNOWN - VERIFY","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","A9 4.3 notes Central European labs sometimes quote below Hungarian TIC-group pricing."
"SGS Hungaria Kft.","Hungary","Budapest","Global TIC group; food testing and inspection","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","ISO/IEC 17025 expected - UNKNOWN - VERIFY","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","A9 4.1. TIC-group pricing is often above local commercial labs - use as a benchmark quote, not a default choice."
"Bureau Veritas (Hungary entity)","Hungary","Budapest","TIC group; food testing and certification","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","ISO/IEC 17025 expected - UNKNOWN - VERIFY","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTACT NOT VERIFIED","A9 4.1. Exact Hungarian legal entity name was NOT verified - do not assume the Kft. name."
"Synlab (Hungary entity)","Hungary","UNKNOWN","Primarily clinical; food/environmental scope exists in some countries but was NOT confirmed for Hungary","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - SCOPE UNCONFIRMED","A9 4.1. Confirm they test FOOD, not only clinical samples, before spending time on a quote request."
"Campden BRI Magyarorszag Nonprofit Kft.","Hungary","Budapest","Food and drink RESEARCH AND TECHNOLOGY ORGANISATION, not merely a testing house. Internationally: beverage product development, pilot-scale trials, shelf-life and stability studies, sensory science with trained panels, challenge testing, HACCP and technical/legislative advice, membership schemes","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - VERIFY","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - ENTITY BELIEVED TO EXIST, CONTACTS AND SERVICES UNVERIFIED","THE MOST STRATEGICALLY RELEVANT NAME ON THIS LIST (A9 4.2). A carbonated protein beverage is a FORMULATION STABILITY problem more than an analysis problem. ASK FIRST whether they sell SHORT PAID ADVISORY TIME to start-ups, before asking for a project quote - a full engagement will exceed the whole budget, but one paid hour may prevent a failed production run. Also ask about aluminium can lacquer compatibility at low pH with high protein."
"NEBIH Elelmiszer- es Takarmanybiztonsagi Igazgatosag laboratories","Hungary","Budapest","National reference laboratory network of the competent authority. Performs official control analyses; MAY accept commissioned work from businesses at a published fee schedule (dijtetel)","UNKNOWN - QUOTE REQUIRED - NEBIH publishes fee schedules but portal.nebih.gov.hu returned 403 throughout this project","UNKNOWN","Reference-laboratory status","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - COMMERCIAL AVAILABILITY UNCONFIRMED","Attractive property: a result produced by the same institution that would test you in an official control. WHETHER NEBIH ACCEPTS COMMERCIAL COMMISSIONS FROM FBOs, AND AT WHAT PUBLISHED TARIFF, IS UNKNOWN - NEEDS PROFESSIONAL CONFIRMATION. Worth one phone call."
"MATE - Magyar Agrar- es Elettudomanyi Egyetem, Elelmiszertudomanyi es Technologiai Intezet (Budai Campus)","Hungary","Budapest","Food science teaching and research. LIKELY has pilot-plant equipment, analytical instrumentation (Kjeldahl/Dumas, HPLC) and sensory laboratories","UNKNOWN - QUOTE REQUIRED","UNKNOWN","N/A (university department, not a commercial testing lab)","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - INSTITUTION EXISTS, DEPARTMENT CONTACT UNKNOWN","HIGHEST-VALUE, ALMOST-FREE MOVE IN THE WHOLE TESTING WORKSTREAM (A9 4.4, concurring with B6). DO NOT ask 'can we buy analysis'. ASK: 'would a student take the formulation and shelf-life stability of a carbonated high-protein beverage at pH 3.2 as a szakdolgozat / TDK topic?' That gives you months of instrument time, a stability dataset and a written report - exactly the document a co-packer or distributor asks for. Find the department contact on the university's own domain."
"BME - Budapesti Muszaki es Gazdasagtudomanyi Egyetem (chemical engineering / bioengineering)","Hungary","Budapest","Analytical chemistry and process engineering capability; occasionally does contract work","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - CONTRACT-WORK AVAILABILITY UNCONFIRMED","A9 4.4. Secondary to MATE for a food application."
"UNILAB-PHARMA Kft.","Hungary","UNKNOWN","UNKNOWN - scope unverified","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - SCOPE UNVERIFIED","Named in the original research brief (A9 4.1). Nothing about its food-testing scope was verified. Treat as a lead only."
"Fumo Kft.","Hungary","UNKNOWN","UNKNOWN - scope unverified","UNKNOWN - QUOTE REQUIRED","UNKNOWN","UNKNOWN","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","UNKNOWN - QUOTE REQUIRED","LEAD - SCOPE UNVERIFIED","Named in the original research brief (A9 4.1). Nothing verified. Treat as a lead only."
