ingredient,supplier_spec_needed,grams_per_can,percent_w_v,purpose,huf_per_can,eur_per_can,status,notes
"Water (demineralised or low-hardness, treated)","Full water report from co-packer: total hardness, Ca, Mg, chloride, alkalinity, conductivity, microbiological. Target: low hardness, LOW CALCIUM, LOW CHLORIDE.","~305.9 (to 330 ml)",~92.7,"Solvent / carrier","UNKNOWN - QUOTE REQUIRED (co-packer, included in tolling)","UNKNOWN - QUOTE REQUIRED","BENCH TEST MANDATORY","WATER IS A FORMULATION INGREDIENT, NOT A UTILITY. Divalent Ca2+ screens the electrostatic repulsion that keeps whey clear (screening scales with valency squared) - hard water can ruin an otherwise-correct formula. Chloride is the main pitting-corrosion agent on the can liner. Hungarian municipal hardness varies by region. GET THE CO-PACKER WATER REPORT BEFORE THE FIRST TRIAL. Mass shown is approximate: 330 ml of a 7.3% w/v solution weighs more than 330 g, so fill is by VOLUME not mass."
"Hydrolysed bovine collagen peptides","Bovine HIDE-derived. Fully hydrolysed, MW ~2000-5000 Da, non-gelling, cold-water soluble. PROTEIN (N x 6.25) SPEC: PLAN ON 90% - THIS IS AN ASSUMPTION, CONFIRM ON THE CoA. Neutral flavour/odour. Clarity data at pH 3.0-3.5. Reg 853/2004 Annex III Section XV establishment approval number. TSE/BSE statement per Reg 999/2001 with hide country of origin. Non-novel-food confirmation in writing.",11.111,3.367,"Protein - carries 10 g of the 20 g declaration; optically clear and acid-stable at any beverage pH; low foam; not exposed to the 2026 dairy shortage",65.18,0.1795,"PUBLIC LIST PRICE (pilot tier) / QUOTE REQUIRED; PROTEIN SPEC 90% ASSUMED - CONFIRM ON CoA","Arithmetic: 10 g protein / 0.90 spec = 11.111 g powder; x 5.866 HUF/g = 65.18 HUF. Price basis FloraVita HU 20 kg bag 149,000 HUF gross / 1.27 / 20 kg = 5,866 HUF/kg net = EUR 16.16/kg, corroborated by published EUR 12-20/kg EU band. SCALE (1 t) tier = 4.538 HUF/g -> 50.42 HUF/can (ESTIMATE, anchored on GELITA EUR 12.50/kg). *** 90% IS AN ASSUMED SPEC, NOT A CONFIRMED ONE: 16_INGREDIENT_SUPPLIERS.csv records the FloraVita benchmark as '90 (assume; CONFIRM on CoA)'. DOSE AND COST ON 90% UNTIL A CoA SAYS OTHERWISE. A 97% grade would need only 10.31 g and save ~9.4 HUF/can, but NO 97% GRADE HAS BEEN QUOTED OR EVIDENCED IN THIS PROJECT - do not cost, dose or label against it. Buy on protein spec, not price per kg. *** If the delivered CoA reads below 90%, the powder dose rises and the 20 g declaration is at risk. DIAAS approx 0; ZERO tryptophan; leucine ~2.5 g/100 g protein - see 03_PRODUCT_ARCHITECTURE.md section 5."
"Whey protein isolate - CLEAR / ACID-STABLE GRADE","Ion-exchange or purpose-engineered clear grade. Protein (N x 6.25) >=90%. LOW ASH, LOW CALCIUM, LOW FAT (<1%), LOW LACTOSE. Must be specified for CLEAR solutions at pH 3.0-3.5. Request: max recommended g/L at pH 3.2 while visually clear; turbidity (NTU) vs concentration curve; heat-stability envelope at pH 3.2; foaming/surface-activity data; calcium and ionic-strength sensitivity; dairy establishment approval number; allergen statement; CoA template. Named candidates to quote: Arla Lacprodan Clear Whey Isolate, Volac Volactive Pro2O RTM, Agropur/Davisco BiPRO.",11.111,3.367,"Protein - carries 10 g of the 20 g declaration; supplies the leucine and ALL of the tryptophan; the gym-credibility fraction",163.90,0.4515,"ESTIMATE (clear-grade premium on a published index) - QUOTE REQUIRED, AND CONFIRM AVAILABILITY","*** BASE CASE IS THE CLEAR / ACID-STABLE GRADE AT 163.90 HUF/CAN. THE FORMULA REQUIRES IT: commodity WPC80/standard WPI90 will haze at pH 3.2 (05_FOOD_CHEMISTRY.md section 3), so the cheaper grade is not a substitute, it is a different product. *** Arithmetic: 10 g protein x 16.39 HUF per g declared protein = 163.90 HUF. Price basis: DCA Market Intelligence WPI90 EUR 32,500/t (Jul 2026, search-extracted) plus an ESTIMATED ~+25% clear-grade premium = EUR 40.63/kg = 14,748 HUF/kg (16_INGREDIENT_SUPPLIERS.csv, Lacprodan Clear Whey Isolate line). THE +25% PREMIUM IS AN ESTIMATE, NOT A QUOTE - 16_INGREDIENT_SUPPLIERS.csv states this single line SWINGS ARCH F BY UP TO +/- 50 HUF/CAN. OPTIMISTIC CASE (do not plan on it): commodity WPI90 at 11.7975 HUF/g powder = 131.08 HUF/can, i.e. 32.82 HUF/can and EUR 154 on a 1,700-can batch cheaper - only valid if a supplier certifies clarity at pH 3.2 in writing. SMALL-LOT UPLIFT NOT YET APPLIED: 16_INGREDIENT_SUPPLIERS.csv says a 25 kg buyer should budget index +10-25% on top of this line - QUOTE REQUIRED. A WRITTEN CLEAR-WPI QUOTE AND AVAILABILITY CONFIRMATION IS A HARD GATE BEFORE ANY DEPOSIT IS PAID. AVAILABILITY IS THE LIVE RISK, NOT PRICE: European whey manufacturers reported sold out through 2026; a 25 kg buyer is at the back of the queue and pays a premium above index. Concentration in can = 10 g / 0.330 L = 30.3 g/L, inside the ~30-45 g/L safe corridor. Milk = Annex II ALLERGEN, must be emphasised (bold) in the ingredient list."
"L-leucine (free amino acid)","Food grade (FCC/EP/USP), fermentation-derived, non-GMO statement, >=98.5% purity, CoA per lot, particle size suitable for cold dissolution.",1.700,0.515,"Raises total leucine from 1.30 g to 3.00 g per can - crosses the ~2.5-3.0 g threshold for maximal muscle protein synthesis; the single credibility lever that neutralises the collagen fraction",9.60,0.0264,"PUBLISHED MARKET INDEX CORRIDOR (ESTIMATE) - QUOTE REQUIRED; REGULATORY STATUS NEEDS PROFESSIONAL CONFIRMATION","Arithmetic: 1.7 g x 5.6488 HUF/g = 9.60 HUF. Price basis USD 18/kg (bulk corridor USD 8-20/kg) x 313.82 HUF/USD. SOLUBILITY CHECK: 1.7 g / 0.330 L = 5.15 g/L vs L-leucine solubility 22-24 g/L at 25 C - SAFE, but CAP FREE LEUCINE AT 2.5 g/CAN and bench-test for cold-chain haze at 4 C. TASTE: free leucine is distinctly BITTER - must be blind-panel tested against the citrus flavour. *** REGULATORY FLAG - UNVERIFIED, AND IT BLOCKS RAW-MATERIAL PURCHASE: whether free amino acids may lawfully be ADDED TO A BEVERAGE (as opposed to a food supplement) under Reg (EC) 1925/2006 and national Hungarian rules WAS NOT VERIFIED IN THIS PROJECT - every primary source was egress-blocked. STATUS: UNVERIFIED / NEEDS PROFESSIONAL CONFIRMATION. Two independent research workstreams failed to resolve it. Do not buy leucine or tryptophan, and do not commission artwork, until a Hungarian food-law consultant has answered it in writing. FALLBACK IF RESTRICTED: ARCH C unspiked - drop both free amino acids and the leucine claim, saving 10.31 HUF/can. ***"
"L-tryptophan (free amino acid)","Food grade (FCC/EP/USP), fermentation-derived, non-GMO statement, >=98.5% purity, CoA per lot.",0.150,0.045,"Closes collagen's total tryptophan gap with a large analytical safety margin; tryptophan is collagen's zero and therefore the DIAAS-limiting amino acid",0.71,0.0019,"PUBLISHED MARKET INDEX CORRIDOR (ESTIMATE) - QUOTE REQUIRED; REGULATORY STATUS NEEDS PROFESSIONAL CONFIRMATION","Arithmetic: 0.150 g x 4.7073 HUF/g = 0.71 HUF. Price basis USD 15/kg (bulk corridor USD 12-18/kg). SOLUBILITY: 0.45 g/L vs ~11 g/L limit - trivially safe. Sensorially silent at this level. *** CONFLICT DECLARED - SETTLE THE DOSE BEFORE THE RFQ GOES OUT. Dossier D2 section 8 specifies ARCH F with 25 mg of ADDED tryptophan (15 mg deficit + analytical margin), giving ~160 mg total. The deliverable set (01, 02, 14 and this file) carries 150 mg added, giving 285 mg total. 16_INGREDIENT_SUPPLIERS.csv row 23 flags the same conflict: THE DECLARED SPEC MUST MATCH WHAT IS ACTUALLY DOSED, because the co-packer doses what the spec sheet says and the label declares it. Cost difference is 0.59 HUF/can - immaterial; the label and CoA mismatch is not. *** THE GAP ARITHMETIC ONLY REQUIRES 15-25 mg: whey supplies 135 mg, FAO reference for 20 g protein is 150 mg. The plan's 150 mg is a deliberate ~10x margin. Batch-1 decision: carry 150 mg, but write ONE number into the spec sheet, the RFQ and the artwork. Same Reg 1925/2006 UNVERIFIED legality flag as L-leucine - see the leucine row; it blocks purchase of this ingredient too."
"Citric acid anhydrous (E330)","Food grade, anhydrous, fine granular. CoA per lot.",0.495,0.150,"Primary acidulant to pH 3.20 +/- 0.10; ALSO CHELATES CALCIUM, which actively helps clarity by sequestering the divalent ions that screen protein charge",0.247,0.00068,"PUBLISHED MARKET INDEX - DOSE IS A PLACEHOLDER, BENCH TITRATION MANDATORY","Arithmetic: 1.50 g/L x 0.330 L = 0.495 g; x 0.4990 HUF/g = 0.247 HUF. Price basis USD 1.59/kg Europe Jul 2026 (ChemAnalyst/IMARC). BATCH-1 BUDGET LINE: citric + malic are carried together as an ACID SYSTEM at 2.50 HUF/can in 19_UNIT_ECONOMICS.csv against an index sum of 0.458 HUF - the difference sits in the small-lot allowance row below. THE 1.50 g/L DOSE IS A STARTING HYPOTHESIS, NOT A SPECIFICATION. Protein is amphoteric and BUFFERS, so the acid dose needed at 7.3% w/v solids is NOT the dose needed in plain water - it must be titrated at bench. Expected status: Group I quantum satis in FoodEx category 14.1.4 (UNVERIFIED RECALL - read Reg 1333/2008 Annex II). Quantum satis still requires a justified documented use level."
"Malic acid (E296)","Food grade, DL-malic acid. CoA per lot.",0.264,0.080,"Secondary acidulant - rounder, longer sourness that suits lemon-lime; reported slightly less astringent than citric at equal pH",0.211,0.00058,"PUBLISHED MARKET INDEX - DOSE IS A PLACEHOLDER, BENCH TITRATION MANDATORY","Arithmetic: 0.80 g/L x 0.330 L = 0.264 g; x 0.8002 HUF/g = 0.211 HUF. Price basis USD 2.55/kg Europe (ChemAnalyst). Citric:malic ratio is a SENSORY decision to be made on a blind panel, not a spec. Expected Group I quantum satis (UNVERIFIED RECALL). DO NOT USE PHOSPHORIC ACID (E338): it is NOT quantum satis, it shares a restricted P2O5 group limit with the phosphates, and it is the most actively-amended part of the additive annex. Citric + malic do the whole job."
"Sucralose (E955)","Food grade, >=98% purity, CoA per lot, exact current E-number confirmed on the CoA.",0.0198,0.0060,"High-intensity sweetener - primary. Non-reducing and acid-stable, so it adds NO Maillard browning fuel and no yeast substrate",0.141,0.00039,"PUBLISHED MARKET INDEX - DOSE IS A PLACEHOLDER; LEGAL MAX UNVERIFIED","Arithmetic: 60 mg/L x 0.330 L = 0.0198 g; x 7.0966 HUF/g = 0.141 HUF. Price basis USD 22.61/kg Europe Q1 2026 (Tridge/chemtradeasia). BATCH-1 BUDGET LINE: sucralose + acesulfame K are carried together as a SWEETENER SYSTEM at 6.19 HUF/can in 19_UNIT_ECONOMICS.csv against an index sum of 0.192 HUF - the difference sits in the small-lot allowance row below. At 1,700 cans (~560 L) the whole batch needs ~34 g of sucralose; you will buy a minimum pack and write off the rest. RECALLED max in category 14.1.4 = 300 mg/L (UNVERIFIED RECALL - MUST be read from Reg 1333/2008 Annex II via the EU Food Additives Database). Sweeteners are permitted in 14.1.4 only in drinks that are energy-reduced or with no added sugar - our zero-sugar product satisfies this. DESIGN TO SUM-OF-RATIOS <= 1.0: (60/300) + (100/350) = 0.200 + 0.286 = 0.486 - large headroom for reformulation. OPTION: steviol glycosides instead of sucralose cost only +0.79 HUF/can; if 'no artificial sweeteners' is worth anything in the Hungarian gym channel it is essentially free."
"Acesulfame K (E950)","Food grade, >=99% purity, CoA per lot.",0.0330,0.0100,"High-intensity sweetener - synergist. Blending with sucralose gives a cleaner onset/decay profile than either alone and reduces total sweetener load",0.051,0.00014,"PUBLISHED MARKET INDEX - DOSE IS A PLACEHOLDER; LEGAL MAX UNVERIFIED","Arithmetic: 100 mg/L x 0.330 L = 0.0330 g; x 1.5412 HUF/g = 0.051 HUF. Price basis USD 4.911/kg Germany Q1 2026 (ChemAnalyst). RECALLED max in 14.1.4 = 350 mg/L (UNVERIFIED RECALL). DO NOT USE ASPARTAME (E951) OR E962: aspartame is NOT acid-stable over a 6-9 month shelf life at pH 3.2 and will lose sweetness, and it triggers a mandatory 'contains a source of phenylalanine' declaration. Excluding it costs nothing and removes a warning from the pack."
"Natural lemon-lime flavour","Water-soluble natural flavouring (NOT an emulsion, NOT a fruit juice or concentrate). Must be briefed for: pH 3.2, 7.3% w/v protein solids, zero sugar, carbonated, aluminium can, 6-9 month ambient shelf life. Ask the flavour house explicitly whether it masks (a) collagen's faint broth/savoury note, (b) whey astringency, (c) free-leucine bitterness, (d) the documented 'soapy' off-note of clear acidic whey beverages. Request 2-3 dose levels as samples.",0.495,0.150,"Flavour - and the primary masking system for astringency and the collagen note. Citrus is the correct direction: high acid is EXPECTED by the consumer, so pH 3.2 reads as 'correct' rather than 'sour'",5.437,0.01498,"LIKELY (secondary source) - QUOTE REQUIRED; DOSE MUST BE SET BY SENSORY TRIAL","Arithmetic: 0.15% w/v = 1.50 g/L x 0.330 L = 0.495 g; x 10.9837 HUF/g = 5.437 HUF. Price basis USD 35/kg working midpoint of a USD 10-60/kg corridor. THE FLAVOUR IS 88% OF THE INDEX-DERIVED NON-PROTEIN INGREDIENT COST (5.44 of 6.19 HUF). Beverage flavours dose at 0.01-0.2%; a zero-sugar drink with a heavy protein load will likely need the TOP of that range - 0.20% = 7.25 HUF/can. BATCH-1 BUDGET LINE: 8.00 HUF/can in 19_UNIT_ECONOMICS.csv (top-of-range dose plus a small-lot allowance) against 5.437 at the index midpoint dose - the difference sits in the small-lot allowance row below. USE FLAVOURING, NOT FRUIT JUICE OR CONCENTRATE: juice adds reducing sugars (Maillard browning), and fruit concentrate is the classic vector for Alicyclobacillus acidoterrestris. Quote from Doehler (has HU presence), Kanegrade, Symrise, Givaudan, IFF."
