brand,product,country,markets,size_ml,protein_g,protein_source,caffeine_mg,calories_kcal,sugar_g,sweeteners,price_local,price_eur,channel,positioning,manufacturer,status,source_url
UPP,UPP (Dual Pwr System),Iceland,Iceland,"UNKNOWN - can, size not confirmed (330 ml assumed, NOT verified)",20,"CLEAR WHEY ISOLATE (Arla Lacprodan BLG-100) + HYDROLYSED COLLAGEN, branded Dual Pwr System - approx 50/50 protein split",0 - caffeine-free,"~80 (DERIVED: 20 g x 4 kcal/g = 80 kcal; every calorie in the can is protein)",0,UNKNOWN,"UNKNOWN - QUOTE REQUIRED. D1 models 350-420 ISK (ESTIMATE, derivation in D1 s3.4). The 200 ISK premise in the original brief is UNSUPPORTED by any evidence",UNKNOWN,"Icelandic grocery nationwide (""i verslanir um allt land"") + World Class gym chain (20 sites / 10 pools) as co-developer and launch channel","*** THE CLOSEST THING ON EARTH TO OUR ARCH F. *** Launched JUNE 2026. Same architecture we chose: half clear whey isolate, half hydrolysed collagen, 20 g, zero sugar, carbonated, caffeine-free, lemon/lime + strawberry. Co-developed with the country's largest gym chain and had guaranteed day-one placement. COPY THE GYM CO-DEVELOPMENT MOVE - it costs a phone call. Note they use Arla BLG-100, a crystallisation-purified single-fraction isolate priced ABOVE WPI90 - we cannot afford it and do not need it","Olgerdin Egill Skallagrimsson hf. (Nasdaq Iceland: OLGERD, founded 1913), with World Class (gyms) and Brandenburg (agency)",SEARCH-VERIFIED (Olgerdin press page + Vidskiptabladid + uppupp.is via search index; page never opened),https://www.olgerdin.is/um-okkur/frettir/frett/upp-ferskasta-leidin-ad-proteini
mist,Mist Uppbygging,Iceland,Iceland,330 (SLEEK can),15,"100% HYDROLYSED COLLAGEN at 5% w/v (16.5 g powder x ~90% = 14.85 g -> declared 15 g, reconciles to the gram). ZERO WHEY","YES - natural, from green coffee bean + yerba mate. mg UNKNOWN",UNKNOWN,0,SUCRALOSE (declared),"1,656 ISK per 6-pack = 276.0 ISK/can (836 ISK/L). = 704.5 HUF/can equivalent, incl. 11% VAT and incl. ~24 ISK deposit",1.94,"Kronan and other Icelandic grocery retail; 4x6 SLEEK trade case via Olgerdin webshop","*** THE PRICE BENCHMARK THAT VALIDATES OUR 799 HUF RRP. *** Cheapest carbonated protein can verified in Iceland. Strip the deposit and the beverage is 643 HUF - almost exactly our 799 minus 50 HUF deposit target band. Full declared ingredient list is nearly identical to ours: carbonated water / hydrolysed collagen / citric acid / potassium sorbate / sucralose / natural flavour / B-vitamins. One of the top-3 protein drinks on the Icelandic market within a month of launch",Olgerdin Egill Skallagrimsson hf.,SEARCH-VERIFIED (PUBLIC LIST PRICE search-extracted from kronan.is; page never opened),https://kronan.is/vara/100262032-mist-6pk-uppbygging-skogarberchai
COLLAB,COLLAB Collagen Energy Drink,Iceland,"Iceland; Denmark; Germany (collab.is serves /region/dk and /region/de)",330,5.9,marine collagen peptides (wild-caught Arctic Ocean fish),105,UNKNOWN,0,"sugar-free / zero carb - sweetener UNKNOWN",UNKNOWN,UNKNOWN,"Icelandic grocery; export via icelandicstore.is, topiceland.com, nammi.is","Launched 2019. NOT a protein drink - an energy drink with a collagen flash. Six B vitamins. IMPORTANT PRECEDENT: a small Icelandic carbonated collagen can has ALREADY walked the EU labelling and packaging-compliance path into Germany and Denmark. Also occupies the caffeine niche we deferred to batch 2, at 105 mg in exactly our format",Olgerdin Egill Skallagrimsson + FEEL Iceland (JV),SEARCH-VERIFIED,https://www.collab.is/english
Bodyfuel,Sparkling Protein Water 330 ml,"imported - origin UNKNOWN",Iceland,330,10,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,299 ISK/can = 763 HUF equivalent,2.10,bodyfuel.is (Iceland),"Price point only. 10 g protein at 763 HUF-equivalent - i.e. Icelandic consumers pay MORE per can for HALF the protein of Mist. Supports pricing at 799 HUF for 20 g",UNKNOWN,SEARCH-VERIFIED (PUBLIC LIST PRICE search-extracted),https://bodyfuel.is/products/sparkling-protein-water-330ml
Fizzique,Sparkling Protein Water,USA,USA (+ Supplement King Canada),355 (12 oz),20,whey protein isolate,45,80-90,0,UNKNOWN,UNKNOWN,UNKNOWN,"Amazon; Instacart; Health Spot; Supplement King (CA)","*** THE PRODUCT THAT KILLS THE ""NOBODY HAS DONE THIS"" STORY. *** Shipping since ~2017-18 - EIGHT YEARS. Holds SEVEN US PATENTS on sparkling protein water. Founded by David Jenkins, UK Olympic track medallist. Our spec (20 g, ~80 kcal, zero sugar, clear, carbonated, low caffeine) is a near-exact match to a product that has existed since 2017. US patents do not bind us in Hungary, but the separate granted EUROPEAN patent EP2001312B1 (whey isolate >=90%, pH 2-3.4, carbonated) does need a 30-minute attorney check before batch 2 - it expires ~9 March 2027","Fizzique (co-packer UNKNOWN)",SEARCH-VERIFIED,https://www.amazon.com/fizzique-Sparkling-Protein-Calories-Pomegranate/dp/B0752H5JRR
C4 (Cellucor),C4 Sparkling Protein,USA,USA,"UNKNOWN - can",20,whey protein isolate,0,95,0,UNKNOWN,UNKNOWN,UNKNOWN,"Walmart; Target; 7-Eleven; Walgreens; Kroger; H-E-B; Wawa; Publix; GNC; Vitamin Shoppe; Amazon; DTC","*** LAUNCHED 30 JULY 2026 - SEVENTEEN DAYS BEFORE THIS FILE WAS WRITTEN. *** A top-tier US energy-drink company put our exact spec into ten national retail chains at once. Zero sugar, zero caffeine, zero fat, 5 added vitamins/minerals. This is the clock on the whole project: when Nutrabolt brings this to Europe, our window closes",Nutrabolt,SEARCH-VERIFIED,https://www.bevnet.com/pr/2026/07/30/c4-expands-beyond-energy-drinks-with-the-launch-of-sparkling-protein
Bucked Up,Lightly Carbonated Protein Soda (16 oz),USA,USA,473 (16 oz),25,whey protein isolate,0,100,0,UNKNOWN,UNKNOWN,UNKNOWN,"Walmart; Amazon; Walgreens; DTC","Proof of the formulation ceiling: to get ABOVE 20 g of complete protein they had to go to 473 ml. They did not fit 25 g into 355 ml",Bucked Up (DAS Labs),SEARCH-VERIFIED,https://www.buckedup.com/carbonated-protein-soda
Bucked Up,Lightly Carbonated Protein Drink (12 oz),USA,USA,355 (12 oz),20,whey protein isolate,0,90,0,UNKNOWN,UNKNOWN,UNKNOWN,Walmart,"Line extension launched AUGUST 2026 - this month. Dropped back to exactly 20 g the moment they went to 355 ml. Fifth independent formulator to land on the same number",Bucked Up (DAS Labs),SEARCH-VERIFIED,https://www.stack3d.com/2026/08/bucked-up-smaller-lighter-carbonated-protein-soda/
Protein Pop (Rise Wellness),Protein Pop Plus,USA,USA,355 (12 oz),30,"whey protein isolate + BOVINE COLLAGEN blend",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Costco - all 607 US clubs,"*** THE OTHER WAY PAST 20 g: DILUTE THE PROTEIN QUALITY. *** They reach a 30 g headline only by blending whey isolate with bovine collagen - the same trick we use, pushed harder. Validates that whey+collagen blending is mainstream, not a cheat. Now in 607 Costco clubs",Rise Wellness,SEARCH-VERIFIED,https://www.prnewswire.com/news-releases/protein-pop-launches-protein-pop-plus-at-costco-nationwide-302696809.html
Premier Protein,protein soda - name UNKNOWN,USA,USA,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"A multi-billion-dollar RTD protein incumbent announced as ENTERING the protein soda category in 2026. Nothing about the product is known. Its significance is the signal, not the spec",BellRing Brands,SEARCH-VERIFIED (entry announced; product specs not published),https://www.fooddive.com/news/premier-protein-soda-bellring-brands/819973/
